;word;count;category
37;Plastic bottle;2;
41;Customer;2;
51;Nickel;2;
62;Champagne stemware;2;
63;Cutlery;2;
78;Fork;2;
80;Tablecloth;2;
107;Mesh;2;
131;Windscreen wiper;2;
177;Fruit tree;2;
215;Nameplate;2;
227;Passenger;2;
256;Moon;2;
261;Vehicle registration plate;2;
264;Traffic sign;2;
278;Diving equipment;2;
279;Divemaster;2;
284;Crew;2;
288;Toddler;2;
290;Pink;2;
296;Amphitheatre;2;
297;Ancient history;2;
322;Steamboat;2;
330;Wire fencing;2;
353;Bridge;2;
364;Outcrop;2;
383;Shoulder;2;
393;Mixed-use;2;
395;Grazing;2;
421;Measuring instrument;2;
449;Horse tack;2;
451;Porch;2;
452;Siding;2;
457;Navarin;2;
460;Braising;2;
471;Cross;2;
477;Al dente;2;
480;Noodle;2;
481;Rice noodles;2;
505;Insect;2;
506;Arthropod;2;
507;Pest;2;
508;Parasite;2;
509;Invertebrate;2;
513;Ice cap;2;
521;Saucer;2;
525;Input device;2;
528;Office supplies;2;
532;Underwater;2;
533;Digital SLR;2;
540;Headlamp;2;
547;Commemorative plaque;2;
549;Wax;2;
550;Flame;2;
551;Fire;2;
553;Finger;2;
557;Body jewelry;2;
560;Field;2;
596;Stage;2;
607;Fictional character;2;
630;Jewellery;2;
637;Symbol;2;
639;Memorial;2;
641;Job;2;
656;Kitchen;2;
667;Plywood;2;
687;Tour bus service;2;
702;Violin family;2;
703;Street;2;
710;Human settlement;2;
713;Paddle;2;
728;Religious item;2;
730;Lectern;2;
736;Fuel tank;2;
737;Piano;2;
738;Musical keyboard;2;
740;Electric piano;2;
747;Formal wear;2;
748;Ducks, geese and swans;2;
751;Map;2;
755;Tartan;2;
758;Swimsuit top;2;
772;Human leg;2;
779;Sitting;2;
784;Tourism;2;
786;Coast;2;
798;Motorcycle;2;
800;Barrel;2;
801;Winery;2;
807;Sports uniform;2;
816;People on beach;2;
817;Underpants;2;
822;Maillot;2;
823;Breaststroke;2;
830;Trench coat;2;
832;Tread;2;
835;Hawker;2;
841;Storage basket;2;
842;Basket;2;
848;Blazer;2;
853;Textile;2;
858;Waterfowl;2;
862;Flight;2;
866;Adaptation;2;
869;Floristry;2;
870;Floral design;2;
879;Fashion design;2;
882;Belt;2;
888;Backpack;2;
894;Podium;2;
20;Wedding dress;1;
21;Bride;1;
23;Bridal clothing;1;
27;Bridal party dress;1;
28;Gown;1;
52;Cash;1;
53;Currency;1;
55;Wire;1;
77;Kitchen utensil;1;
81;Table knife;1;
82;Spoon;1;
108;Windshield;1;
111;Balance;1;
151;Rainbow;1;
175;Grapevine family;1;
186;Extinction;1;
207;Pedicel;1;
208;Pollen;1;
209;Narcissus;1;
221;Aircraft;1;
222;Airplane;1;
223;Helicopter rotor;1;
224;Helicopter;1;
229;Personal luxury car;1;
241;Wheelbarrow;1;
258;Sun;1;
265;Parking;1;
277;Buoyancy compensator;1;
280;Diving mask;1;
282;Glove;1;
291;Violet;1;
295;Bouleuterion;1;
302;Mist;1;
303;Dawn;1;
304;Tool;1;
305;Titanium;1;
306;Screw;1;
307;Steel;1;
312;Grape;1;
316;Bicycle fork;1;
320;Passenger ship;1;
327;Address sign;1;
328;Street sign;1;
334;Communication Device;1;
335;Gadget;1;
337;Tablet computer;1;
341;Scaled reptile;1;
354;Handrail;1;
357;Iris;1;
367;Bermuda shorts;1;
368;Arecales;1;
371;Liver;1;
372;Long hair;1;
373;Waterfall;1;
374;Chute;1;
400;Dog supply;1;
403;Dog collar;1;
405;Surfboard;1;
407;Surfing;1;
408;Surfing Equipment;1;
410;Truck;1;
412;Church bell;1;
414;Bell;1;
430;Flag of the united states;1;
433;Sorrel;1;
438;paddlewheel;1;
439;Paddle steamer;1;
446;Antenna;1;
447;Telecommunications engineering;1;
453;Bridle;1;
469;Trophy;1;
470;Antique;1;
472;Award;1;
473;Bronze;1;
478;Pasta;1;
479;Stringozzi;1;
482;Pasta pomodoro;1;
483;Headstone;1;
486;Tea;1;
488;Espresso;1;
489;Wiener melange;1;
491;Optical instrument;1;
493;Lens hood;1;
496;Ceiling fixture;1;
497;Lampshade;1;
498;Hill station;1;
503;Pottery;1;
511;Seafood;1;
516;Vegetable;1;
517;Garnish;1;
518;Parachute;1;
519;Paragliding;1;
520;Dandelion coffee;1;
522;Shelf;1;
526;Computer keyboard;1;
531;Fish supply;1;
534;Drip coffee maker;1;
535;Curtain;1;
537;Output device;1;
538;Dairy cow;1;
541;Tunnel;1;
542;Transparent material;1;
543;Spring;1;
552;Melting;1;
555;Prairie;1;
559;Rose;1;
561;Leaf vegetable;1;
563;Tile flooring;1;
574;Beige;1;
575;Rock;1;
576;Desk;1;
578;Bicycle helmet;1;
579;Helmet;1;
580;Bicycle jersey;1;
604;Book cover;1;
606;Movie;1;
616;Performance art;1;
619;Music venue;1;
620;Percussion mallet;1;
621;Drum stick;1;
622;Musical ensemble;1;
625;Photo caption;1;
628;Earrings;1;
629;Necklace;1;
631;Lipstick;1;
635;Emblem;1;
636;Design;1;
640;White-collar worker;1;
645;Waste container;1;
646;Waste containment;1;
649;Paper;1;
654;Paper product;1;
655;Cabinetry;1;
657;Major appliance;1;
658;Handwriting;1;
659;Flat panel display;1;
660;Television set;1;
661;Stage equipment;1;
663;Multimedia;1;
664;Plumbing fixture;1;
665;Urban area;1;
668;Door handle;1;
669;Hall;1;
670;Beetle;1;
671;Oniscidea;1;
672;Isopod;1;
673;Weevil;1;
674;Cat;1;
675;Felidae;1;
676;Whiskers;1;
677;Small to medium-sized cats;1;
683;Subshrub;1;
684;Skyscraper;1;
685;Star;1;
686;Bus driver;1;
695;Layered hair;1;
696;Conversation;1;
700;Moustache;1;
704;Flesh;1;
705;Throat;1;
706;No expression;1;
707;Scar;1;
709;Steam engine;1;
711;Lantern;1;
712;Bullet train;1;
715;Crane;1;
716;Bumper;1;
717;Cemetery;1;
718;Grave;1;
719;Pollinator;1;
723;Artificial flower;1;
725;Street furniture;1;
726;Chimney;1;
727;Finial;1;
729;Candle holder;1;
731;Bicycle wheel rim;1;
734;Bell tower;1;
735;Windsports;1;
739;Electronic keyboard;1;
741;Electronic musical instrument;1;
742;Oval;1;
743;Rust;1;
745;Chinese architecture;1;
746;Thumb;1;
749;Carmine;1;
750;Duck;1;
752;Geology;1;
753;Nature reserve;1;
756;Plaid;1;
759;Lingerie top;1;
764;Lingerie;1;
765;Chest;1;
766;Square;1;
767;Graphic design;1;
768;Home door;1;
769;Electrical wiring;1;
773;Stage is empty;1;
774;Night;1;
775;Shadow;1;
776;Pianist;1;
778;Peach;1;
780;Gauge;1;
781;Pipe organ;1;
782;Organ pipe;1;
783;Lifejacket;1;
785;Ocean;1;
787;Costume hat;1;
788;Shore;1;
789;Evening;1;
791;Saxophone;1;
792;Saxophonist;1;
794;Aerobatics;1;
795;Worship;1;
796;Ritual;1;
797;Stuffed toy;1;
799;Rim;1;
802;Head restraint;1;
803;Seat belt;1;
804;Tripod;1;
805;Pier;1;
821;Skin;1;
824;Field house;1;
825;Player;1;
826;Multi-sport event;1;
827;Tournament;1;
829;Channel;1;
831;Single scull;1;
833;Whole food;1;
836;Greengrocer;1;
837;Retail;1;
838;Gunfighter;1;
839;Shooting;1;
840;Shotgun;1;
843;Wicker;1;
844;Home accessories;1;
845;Steeple;1;
847;Overcoat;1;
850;Fisherman;1;
851;Airedale terrier;1;
852;Khaki pants;1;
856;Bird of prey;1;
857;Fender;1;
859;Polish tatra sheepdog;1;
860;Sporting Group;1;
861;Accipitriformes;1;
863;Accipitridae;1;
864;Water bird;1;
865;Suspension bridge;1;
868;Tern;1;
872;Toolroom;1;
873;Service;1;
874;Machine tool;1;
875;Workbench;1;
877;Employment;1;
878;Lawn;1;
880;Chafing dish;1;
883;Uniform;1;
884;Town;1;
885;Hood;1;
886;Citroën h van;1;
887;Food processing;1;
889;Packaging and labeling;1;
890;Box;1;
891;Local food;1;
892;Finger food;1;
893;Dessert;1;
895;Beer glass;1;
896;Speech;1;
897;Beer;1;
