,word,count
447,Telecommunications engineering,1
448,Beard,12
449,Horse tack,2
450,Outdoor recreation,54
451,Porch,2
452,Siding,2
453,Bridle,1
454,Ingredient,12
455,Stew,4
456,Recipe,11
457,Navarin,2
458,Beef,4
459,Cooking,7
460,Braising,2
461,Pork,3
462,Coffee,10
463,Kitchen appliance,9
464,Coffeemaker,3
465,Java coffee,7
466,Single-origin coffee,7
467,Coffee cup,8
468,Cuban espresso,6
469,Trophy,1
470,Antique,1
471,Cross,2
472,Award,1
473,Bronze,1
474,Couch,4
475,Floor,8
476,Staple food,5
477,Al dente,2
478,Pasta,1
479,Stringozzi,1
480,Noodle,2
481,Rice noodles,2
482,Pasta pomodoro,1
483,Headstone,1
484,Cup,10
485,Cortado,5
486,Tea,1
487,Home appliance,4
488,Espresso,1
489,Wiener melange,1
490,Teleconverter,4
491,Optical instrument,1
492,Lens cap,4
493,Lens hood,1
494,Lamp,4
495,Facial hair,11
496,Ceiling fixture,1
497,Lampshade,1
498,Hill station,1
499,Mirrorless interchangeable-lens camera,3
500,Jaw,8
501,Creative arts,3
502,Bag,10
503,Pottery,1
504,Luggage and bags,19
505,Insect,2
506,Arthropod,2
507,Pest,2
508,Parasite,2
509,Invertebrate,2
510,Peripheral,3
511,Seafood,1
512,Air travel,3
513,Ice cap,2
514,Shoe,6
515,Interaction,4
516,Vegetable,1
517,Garnish,1
518,Parachute,1
519,Paragliding,1
520,Dandelion coffee,1
521,Saucer,2
522,Shelf,1
523,Hardwood,10
524,Railroad car,3
525,Input device,2
526,Computer keyboard,1
527,Office equipment,3
528,Office supplies,2
529,Aquatic plant,3
530,Marine biology,3
531,Fish supply,1
532,Underwater,2
533,Digital SLR,2
534,Drip coffee maker,1
535,Curtain,1
536,Comfort,4
537,Output device,1
538,Dairy cow,1
539,Grass family,5
540,Headlamp,2
541,Tunnel,1
542,Transparent material,1
543,Spring,1
544,Fluvial landforms of streams,3
545,Natural material,4
546,Beach,10
547,Commemorative plaque,2
548,Hairstyle,4
549,Wax,2
550,Flame,2
551,Fire,2
552,Melting,1
553,Finger,2
554,Barefoot,3
555,Prairie,1
556,Midnight,3
557,Body jewelry,2
558,Red,6
559,Rose,1
560,Field,2
561,Leaf vegetable,1
562,Black hair,3
563,Tile flooring,1
564,Toy,4
565,Thigh,18
566,Joint,3
567,Sneakers,5
568,Transmission tower,3
569,Bus,17
570,Public transport,5
571,Mast,18
572,Sailboat,11
573,Transport hub,3
574,Beige,1
575,Rock,1
576,Desk,1
577,Wood stain,3
578,Bicycle helmet,1
579,Helmet,1
580,Bicycle jersey,1
581,Musician,112
582,Concert,29
583,Music,55
584,Membranophone,22
585,Artist,21
586,Entertainment,41
587,Performing arts,22
588,Drum,22
589,Painting,4
590,Guitar accessory,69
591,Musical instrument accessory,66
592,Electronic instrument,4
593,String instrument accessory,47
594,Brass instrument,5
595,Crowd,10
596,Stage,2
597,Music artist,34
598,Band plays,34
599,String instrument,122
600,Fedora,10
601,Guitarist,17
602,Public address system,24
603,Poster,3
604,Book cover,1
605,Advertising,4
606,Movie,1
607,Fictional character,2
608,Logo,4
609,Plucked string instruments,29
610,Guitar,45
611,Accordionist,4
612,Free reed aerophone,4
613,Squeezebox,4
614,Accordion,4
615,Folk instrument,4
616,Performance art,1
617,Cymbal,7
618,Drumhead,3
619,Music venue,1
620,Percussion mallet,1
621,Drum stick,1
622,Musical ensemble,1
623,Microphone stand,5
624,Brand,3
625,Photo caption,1
626,Drink,12
627,Graphics,3
628,Earrings,1
629,Necklace,1
630,Jewellery,2
631,Lipstick,1
632,Church,6
633,Selling,5
634,Sleeve,15
635,Emblem,1
636,Design,1
637,Symbol,2
638,Standing,7
639,Memorial,2
640,White-collar worker,1
641,Job,2
642,Outdoor table,3
643,Bottle,13
644,Glass bottle,3
645,Waste container,1
646,Waste containment,1
647,Organ,3
648,Visual arts,3
649,Paper,1
650,Drawing,4
651,Monochrome,4
652,Monochrome photography,3
653,Illustration,3
654,Paper product,1
655,Cabinetry,1
656,Kitchen,2
657,Major appliance,1
658,Handwriting,1
659,Flat panel display,1
660,Television set,1
661,Stage equipment,1
662,Electronic device,4
663,Multimedia,1
664,Plumbing fixture,1
665,Urban area,1
666,Cylinder,3
667,Plywood,2
668,Door handle,1
669,Hall,1
670,Beetle,1
671,Oniscidea,1
672,Isopod,1
673,Weevil,1
674,Cat,1
675,Felidae,1
676,Whiskers,1
677,Small to medium-sized cats,1
678,Mouth,4
679,Lightning,7
680,Thunder,5
681,Thunderstorm,6
682,Deciduous,4
683,Subshrub,1
684,Skyscraper,1
685,Star,1
686,Bus driver,1
687,Tour bus service,2
688,Keyboard,3
689,Machine,7
690,Number,3
691,Hand,11
692,Reed,3
693,Reed instrument,3
694,Wrinkle,6
695,Layered hair,1
696,Conversation,1
697,Music stand,3
698,Nose,4
699,Cheek,6
700,Moustache,1
701,Classical music,3
702,Violin family,2
703,Street,2
704,Flesh,1
705,Throat,1
706,No expression,1
707,Scar,1
708,Spokesperson,3
709,Steam engine,1
710,Human settlement,2
711,Lantern,1
712,Bullet train,1
713,Paddle,2
714,Concrete,4
715,Crane,1
716,Bumper,1
717,Cemetery,1
718,Grave,1
719,Pollinator,1
720,Feather,7
721,Snout,4
722,Flower Arranging,3
723,Artificial flower,1
724,Sailing,7
725,Street furniture,1
726,Chimney,1
727,Finial,1
728,Religious item,2
729,Candle holder,1
730,Lectern,2
731,Bicycle wheel rim,1
732,Sign,3
733,Holy places,3
734,Bell tower,1
735,Windsports,1
736,Fuel tank,2
737,Piano,2
738,Musical keyboard,2
739,Electronic keyboard,1
740,Electric piano,2
741,Electronic musical instrument,1
742,Oval,1
743,Rust,1
744,People,3
745,Chinese architecture,1
746,Thumb,1
747,Formal wear,2
748,"Ducks, geese and swans",2
749,Carmine,1
750,Duck,1
751,Map,2
752,Geology,1
753,Nature reserve,1
754,Winter,3
755,Tartan,2
756,Plaid,1
757,Photographer,3
758,Swimsuit top,2
759,Lingerie top,1
760,Brassiere,3
761,Undergarment,4
762,Swimwear,12
763,Waist,6
764,Lingerie,1
765,Chest,1
766,Square,1
767,Graphic design,1
768,Home door,1
769,Electrical wiring,1
770,Sidewalk,10
771,Umbrella,7
772,Human leg,2
773,Stage is empty,1
774,Night,1
775,Shadow,1
776,Pianist,1
777,Product,3
778,Peach,1
779,Sitting,2
780,Gauge,1
781,Pipe organ,1
782,Organ pipe,1
783,Lifejacket,1
784,Tourism,2
785,Ocean,1
786,Coast,2
787,Costume hat,1
788,Shore,1
789,Evening,1
790,Tent,7
791,Saxophone,1
792,Saxophonist,1
793,Aqua,5
794,Aerobatics,1
795,Worship,1
796,Ritual,1
797,Stuffed toy,1
798,Motorcycle,2
799,Rim,1
800,Barrel,2
801,Winery,2
802,Head restraint,1
803,Seat belt,1
804,Tripod,1
805,Pier,1
806,One-piece swimsuit,5
807,Sports uniform,2
808,Swimmer,82
809,Sportswear,4
810,Leotard,4
811,Athlete,5
812,Swim cap,42
813,Medley swimming,28
814,Competition event,34
815,Championship,12
816,People on beach,2
817,Underpants,2
818,Modern pentathlon,10
819,Jumping into the pool,3
820,Sports gear,24
821,Skin,1
822,Maillot,2
823,Breaststroke,2
824,Field house,1
825,Player,1
826,Multi-sport event,1
827,Tournament,1
828,Shirt,7
829,Channel,1
830,Trench coat,2
831,Single scull,1
832,Tread,2
833,Whole food,1
834,Market,5
835,Hawker,2
836,Greengrocer,1
837,Retail,1
838,Gunfighter,1
839,Shooting,1
840,Shotgun,1
841,Storage basket,2
842,Basket,2
843,Wicker,1
844,Home accessories,1
845,Steeple,1
846,Tail,3
847,Overcoat,1
848,Blazer,2
849,Trousers,13
850,Fisherman,1
851,Airedale terrier,1
852,Khaki pants,1
853,Textile,2
854,Animal migration,4
855,Bird migration,3
856,Bird of prey,1
857,Fender,1
858,Waterfowl,2
859,Polish tatra sheepdog,1
860,Sporting Group,1
861,Accipitriformes,1
862,Flight,2
863,Accipitridae,1
864,Water bird,1
865,Suspension bridge,1
866,Adaptation,2
867,Handbag,3
868,Tern,1
869,Floristry,2
870,Floral design,2
871,Alcoholic beverage,10
872,Toolroom,1
873,Service,1
874,Machine tool,1
875,Workbench,1
876,Water bottle,3
877,Employment,1
878,Lawn,1
879,Fashion design,2
880,Chafing dish,1
881,Cookware and bakeware,3
882,Belt,2
883,Uniform,1
884,Town,1
885,Hood,1
886,Citroën h van,1
887,Food processing,1
888,Backpack,2
889,Packaging and labeling,1
890,Box,1
891,Local food,1
892,Finger food,1
893,Dessert,1
894,Podium,2
895,Beer glass,1
896,Speech,1
897,Beer,1
